"Date","Price","Open","High","Low","Vol.","Change %"
"16-10-2023","19,731.75","19,737.25","19,781.30","19,691.85","180.96B","-0.10%"
"13-10-2023","19,751.05","19,654.55","19,805.40","19,635.30","254.96B","-0.22%"
"12-10-2023","19,794.00","19,822.70","19,843.30","19,772.65","217.90B","-0.09%"
"11-10-2023","19,811.35","19,767.00","19,839.20","19,756.95","213.73B","0.62%"
"10-10-2023","19,689.85","19,565.60","19,717.80","19,565.45","216.56B","0.91%"
"09-10-2023","19,512.35","19,539.45","19,588.95","19,480.50","165.09B","-0.72%"
"06-10-2023","19,653.50","19,621.20","19,675.75","19,589.40","159.05B","0.55%"
"05-10-2023","19,545.75","19,521.85","19,576.95","19,487.30","234.87B","0.56%"
"04-10-2023","19,436.10","19,446.30","19,457.80","19,333.60","277.15B","-0.47%"
"03-10-2023","19,528.75","19,622.40","19,623.20","19,479.65","221.72B","-0.56%"
"29-09-2023","19,638.30","19,581.20","19,726.25","19,551.05","243.51B","0.59%"
"28-09-2023","19,523.55","19,761.80","19,766.65","19,492.10","352.81B","-0.98%"
"27-09-2023","19,716.45","19,637.05","19,730.70","19,554.00","203.56B","0.26%"
"26-09-2023","19,664.70","19,682.80","19,699.35","19,637.45","204.87B","-0.05%"
"25-09-2023","19,674.55","19,678.20","19,734.15","19,601.55","188.40B","0.00%"
"22-09-2023","19,674.25","19,744.85","19,798.65","19,657.50","246.41B","-0.34%"
"21-09-2023","19,742.35","19,840.55","19,848.75","19,709.95","275.13B","-0.80%"
"20-09-2023","19,901.40","19,980.75","20,050.65","19,878.85","378.07B","-1.15%"
"18-09-2023","20,133.30","20,155.95","20,195.35","20,115.70","264.87B","-0.29%"
"15-09-2023","20,192.35","20,156.45","20,222.45","20,129.70","438.19B","0.44%"
"14-09-2023","20,103.10","20,127.95","20,167.65","20,043.45","275.11B","0.16%"
"13-09-2023","20,070.00","19,989.50","20,096.90","19,944.10","251.39B","0.38%"
"12-09-2023","19,993.20","20,110.15","20,110.35","19,914.65","328.06B","-0.02%"
"11-09-2023","19,996.35","19,890.00","20,008.15","19,865.35","248.76B","0.89%"
"08-09-2023","19,819.95","19,774.80","19,867.15","19,727.05","288.09B","0.47%"
"07-09-2023","19,727.05","19,598.65","19,737.00","19,550.05","304.93B","0.59%"
"06-09-2023","19,611.05","19,581.20","19,636.45","19,491.50","287.56B","0.18%"
"05-09-2023","19,574.90","19,564.65","19,587.05","19,525.75","256.83B","0.24%"
"04-09-2023","19,528.80","19,525.05","19,545.15","19,432.85","296.82B","0.48%"
"01-09-2023","19,435.30","19,258.15","19,458.55","19,255.70","333.02B","0.94%"
"31-08-2023","19,253.80","19,375.55","19,388.20","19,223.65","562.56B","-0.48%"
"30-08-2023","19,347.45","19,433.45","19,452.80","19,334.75","233.00B","0.02%"
"29-08-2023","19,342.65","19,374.85","19,377.90","19,309.10","307.39B","0.19%"
"28-08-2023","19,306.05","19,298.35","19,366.85","19,249.70","248.18B","0.21%"
"25-08-2023","19,265.80","19,297.40","19,339.55","19,229.70","466.52B","-0.62%"
"24-08-2023","19,386.70","19,535.15","19,584.45","19,369.00","268.26B","-0.29%"
"23-08-2023","19,444.00","19,439.20","19,472.05","19,366.60","225.21B","0.25%"
"22-08-2023","19,396.45","19,417.10","19,443.50","19,381.30","208.70B","0.01%"
"21-08-2023","19,393.60","19,320.65","19,425.95","19,296.30","262.59B","0.43%"
"18-08-2023","19,310.15","19,301.75","19,373.80","19,253.60","256.14B","-0.28%"
"17-08-2023","19,365.25","19,450.55","19,461.55","19,326.25","268.66B","-0.51%"
"16-08-2023","19,465.00","19,369.00","19,482.75","19,317.20","226.63B","0.16%"
"14-08-2023","19,434.55","19,383.95","19,465.85","19,257.90","243.85B","0.03%"
"11-08-2023","19,428.30","19,554.25","19,557.75","19,412.75","235.52B","-0.59%"
"10-08-2023","19,543.10","19,605.55","19,623.60","19,495.40","312.19B","-0.46%"
"09-08-2023","19,632.55","19,578.80","19,645.50","19,467.50","266.50B","0.32%"
"08-08-2023","19,570.85","19,627.20","19,634.40","19,533.10","260.29B","-0.13%"
"07-08-2023","19,597.30","19,576.85","19,620.45","19,524.80","216.59B","0.41%"
"04-08-2023","19,517.00","19,462.80","19,538.85","19,436.45","280.80B","0.70%"
"03-08-2023","19,381.65","19,463.75","19,537.65","19,296.45","315.69B","-0.74%"
"02-08-2023","19,526.55","19,655.40","19,678.25","19,423.55","290.67B","-1.05%"
"01-08-2023","19,733.55","19,784.00","19,795.60","19,704.60","298.05B","-0.10%"
"31-07-2023","19,753.80","19,666.35","19,772.75","19,597.60","295.05B","0.55%"
"28-07-2023","19,646.05","19,659.75","19,695.90","19,563.10","258.67B","-0.07%"
"27-07-2023","19,659.90","19,850.90","19,867.55","19,603.55","334.89B","-0.60%"
"26-07-2023","19,778.30","19,733.35","19,825.60","19,716.70","244.75B","0.50%"
"25-07-2023","19,680.60","19,729.35","19,729.35","19,615.95","369.65B","0.04%"
"24-07-2023","19,672.35","19,748.45","19,782.75","19,658.30","265.56B","-0.37%"
"21-07-2023","19,745.00","19,800.45","19,887.40","19,700.00","312.46B","-1.17%"
"20-07-2023","19,979.15","19,831.70","19,991.85","19,758.40","274.70B","0.74%"
"19-07-2023","19,833.15","19,802.95","19,851.70","19,727.45","259.66B","0.42%"
"18-07-2023","19,749.25","19,787.50","19,819.45","19,690.20","286.35B","0.19%"
"17-07-2023","19,711.45","19,612.15","19,731.85","19,562.95","268.71B","0.75%"
"14-07-2023","19,564.50","19,493.45","19,595.35","19,433.50","291.17B","0.78%"
"13-07-2023","19,413.75","19,495.20","19,567.00","19,385.80","310.44B","0.15%"
"12-07-2023","19,384.30","19,497.45","19,507.70","19,361.75","327.94B","-0.28%"
"11-07-2023","19,439.40","19,427.10","19,515.10","19,406.45","251.26B","0.43%"
"10-07-2023","19,355.90","19,400.35","19,435.85","19,327.10","268.25B","0.12%"
"07-07-2023","19,331.80","19,422.80","19,523.60","19,303.60","237.10B","-0.85%"
"06-07-2023","19,497.30","19,385.70","19,512.20","19,373.00","268.26B","0.51%"
"05-07-2023","19,398.50","19,405.95","19,421.60","19,339.60","224.42B","0.05%"
"04-07-2023","19,389.00","19,406.60","19,434.15","19,300.00","226.92B","0.34%"
"03-07-2023","19,322.55","19,246.50","19,345.10","19,234.40","226.05B","0.70%"
"30-06-2023","19,189.05","19,076.85","19,201.70","19,024.60","247.91B","1.14%"
"28-06-2023","18,972.10","18,908.15","19,011.25","18,861.35","398.78B","0.82%"
"27-06-2023","18,817.40","18,748.55","18,829.25","18,714.25","222.46B","0.68%"
"26-06-2023","18,691.20","18,682.35","18,722.05","18,646.70","171.27B","0.14%"
